agriprod_code,agriprod_name,link,lucas_lc_code,lucas_lc_name,lucas_lu_code,lucas_lu_name
ARA,Arable land,,,,,
C0000,Cereals for the production of grain (including seed),=,B10,CEREALS,U111,AgricultureU111,Agriculture
C1000,Cereals (excluding rice) for the production of grain (including seed),,,,U111,Agriculture
C1110,Common wheat and spelt,>,B11,Common wheat,U111,Agriculture
C1111,Common winter wheat and spelt,>,B11,Common wheat,U111,Agriculture
C1112,Common spring wheat and spelt,>,B11,Common wheat,U111,Agriculture
C1120,Durum wheat,=,B12,Durum Wheat,U111,Agriculture
C1121,Winter durum wheat,<,B12,Durum Wheat,U111,Agriculture
C1122,Spring durum wheat,<,B12,Durum Wheat,U111,Agriculture
C1210,Rye,=,B14,Rye,U111,Agriculture
C1211,Winter rye,<,B14,Rye,U111,Agriculture
C1212,Spring rye,<,B14,Rye,U111,Agriculture
C1220,Winter cereal mixtures (maslin),>,B14,Rye,U111,Agriculture
C1300,Barley,=,B13,Barley,U111,Agriculture
C1310,Winter barley,<,B13,Barley,U111,Agriculture
C1320,Spring barley,<,B13,Barley,U111,Agriculture
C1320M,Malting barley,<,B13,Barley,U111,Agriculture
C1410,Oats,=,B15,Oats,U111,Agriculture
C1420,Spring cereal mixtures (mixed grain other than maslin),>,B15,Oats,U111,Agriculture
C1500,Grain maize and corn-cob-mix,<,B16,Maize,U111,Agriculture
C1600,Triticale,=,B18,Triticale,U111,Agriculture
C1610,Winter triticale,<,B18,Triticale,U111,Agriculture
C1700,Sorghum,<,B19,Other cereals,U111,Agriculture
C1900,"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.)",<,B19,Other cereals,U111,Agriculture
C1900T,"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.) - outdoor",<,B19,Other cereals,U111,Agriculture
C1990,"Other cereals n.e.c. (millet, canary seed, etc.)",<,B19,Other cereals,U111,Agriculture
C2000,Rice,=,B17,Rice,U111,Agriculture
E0000,Seeds and seedlings,,,,U111,Agriculture
F0000,"Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)",~,B70,PERMANENT CROPS: FRUIT TREES,U111,Agriculture
F1100,Pome fruits,,,,U111,Agriculture
F1110,Apples,=,B71,Apple fruit,U111,Agriculture
F1120,Pears,=,B72,Pear fruit,U111,Agriculture
F1190,Other pome fruits n.e.c.,~,B75,Other fruit trees and berries,U111,Agriculture
F1191,Quinces,<,B75,Other fruit trees and berries,U111,Agriculture
F1210,Peaches,<,B75i,"Peach, nectarine, platerine",U111,Agriculture
F1220,Nectarines,<,B75i,"Peach, nectarine, platerine",U111,Agriculture
F1230,Apricots,=,B75a,Apricots,U111,Agriculture
F1240,Cherries,=,B73,Cherry fruit,U111,Agriculture
F1250,Plums,=,B75k,Plums,U111,Agriculture
F2100,Figs,=,B75c,Figs,U111,Agriculture
